e1	36	8/8/p7/8/8/p7/8/2p1Rp2	c1 d1 f1	e2 e3
e1	38	8/8/p7/8/8/p7/p7/1pp1Rp2	c1 d1 f1	e2
e1	40	8/8/p7/8/p7/8/8/3pRp2	d1 f1	e2 e3 e4
e1	42	8/8/p7/8/p7/8/p7/1p1pRp2	d1 f1	e2
e1	44	8/8/p7/8/p7/p7/8/2ppRp2	d1 f1	e2 e3
e1	46	8/8/p7/8/p7/p7/p7/1pppRp2	d1 f1	e2
e1	48	8/8/p7/p7/8/8/8/4Rp2	a1 b1 c1 d1 f1	e2 e3 e4 e5
e1	50	8/8/p7/p7/8/8/p7/1p2Rp2	b1 c1 d1 f1	e2
e1	52	8/8/p7/p7/8/p7/8/2p1Rp2	c1 d1 f1	e2 e3
e1	54	8/8/p7/p7/8/p7/p7/1pp1Rp2	c1 d1 f1	e2
e1	56	8/8/p7/p7/p7/8/8/3pRp2	d1 f1	e2 e3 e4
e1	58	8/8/p7/p7/p7/8/p7/1p1pRp2	d1 f1	e2
e1	60	8/8/p7/p7/p7/p7/8/2ppRp2	d1 f1	e2 e3
e1	62	8/8/p7/p7/p7/p7/p7/1pppRp2	d1 f1	e2
e1	64	8/p7/8/8/8/8/8/4R1p1	a1 b1 c1 d1 f1 g1	e2 e3 e4 e5 e6 e7
e1	66	8/p7/8/8/8/8/p7/1p2R1p1	b1 c1 d1 f1 g1	e2
e1	68	8/p7/8/8/8/p7/8/2p1R1p1	c1 d1 f1 g1	e2 e3
e1	70	8/p7/8/8/8/p7/p7/1pp1R1p1	c1 d1 f1 g1	e2
e1	72	8/p7/8/8/p7/8/8/3pR1p1	d1 f1 g1	e2 e3 e4
e1	74	8/p7/8/8/p7/8/p7/1p1pR1p1	d1 f1 g1	e2
e1	76	8/p7/8/8/p7/p7/8/2ppR1p1	d1 f1 g1	e2 e3
e1	78	8/p7/8/8/p7/p7/p7/1pppR1p1	d1 f1 g1	e2
e1	80	8/p7/8/p7/8/8/8/4R1p1	a1 b1 c1 d1 f1 g1	e2 e3 e4 e5
e1	82	8/p7/8/p7/8/8/p7/1p2R1p1	b1 c1 d1 f1 g1	e2
e1	84	8/p7/8/p7/8/p7/8/2p1R1p1	c1 d1 f1 g1	e2 e3
e1	86	8/p7/8/p7/8/p7/p7/1pp1R1p1	c1 d1 f1 g1	e2
e1	88	8/p7/8/p7/p7/8/8/3pR1p1	d1 f1 g1	e2 e3 e4
e1	90	8/p7/8/p7/p7/8/p7/1p1pR1p1	d1 f1 g1	e2
e1	92	8/p7/8/p7/p7/p7/8/2ppR1p1	d1 f1 g1	e2 e3
